time,s1,s2,s3,s4,s5,s6,s7,s8
1398488891,406.821114,414.7304,373.1264428,375.7492306,nan,nan,nan,nan
1398488892,393.7796045,390.7304,363.5689207,365.3646152,nan,nan,nan,nan
1398488894,370.956963,378.7304,360.3830801,358.4415382,nan,nan,nan,nan
1398488897,362.8060196,378.7304,360.3830801,353.2492305,nan,nan,nan,nan
1398488898,369.3267743,390.7304,363.5689207,358.4415382,nan,nan,nan,nan
1398488899,392.1494158,402.7304,376.3122835,368.8261537,nan,nan,nan,nan
1398488900,414.9720574,414.7304,385.8698055,384.4030768,nan,nan,nan,nan
1398488902,413.3418687,390.7304,373.1264428,382.6723076,nan,nan,nan,nan
1398488903,372.5871516,390.7304,354.0113987,351.5184613,nan,nan,nan,nan
1398488904,351.503378,390.7304,350.825558,341.1338458,nan,nan,nan,nan
1398488906,357.9154535,378.7304,360.3830801,348.0569228,nan,nan,nan,nan
1398488908,382.3682837,390.7304,369.9406021,370.5569229,nan,nan,nan,nan
1398488909,416.6022461,426.7304,376.3122835,382.6723076,nan,nan,nan,nan
1398488912,397.0399819,390.7304,366.7547614,368.8261537,nan,nan,nan,nan
1398488913,370.956963,378.7304,357.1972394,354.9799998,nan,nan,nan,nan
1398488914,356.3939441,378.7304,350.825558,341.1338458,nan,nan,nan,nan
1398488914,362.8060196,366.7304,354.0113987,348.0569228,nan,nan,nan,nan
1398488918,398.6701706,390.7304,373.1264428,377.4799999,nan,nan,nan,nan
1398488919,397.0399819,414.7304,376.3122835,379.2107691,nan,nan,nan,nan
1398488920,397.0399819,390.7304,363.5689207,365.3646152,nan,nan,nan,nan
1398488921,385.6286611,402.7304,357.1972394,354.9799997,nan,nan,nan,nan
1398488922,372.5871516,366.7304,360.3830801,354.9799997,nan,nan,nan,nan
1398488924,367.6965856,378.7304,354.0113987,351.5184613,nan,nan,nan,nan
1398488926,372.5871516,378.7304,357.1972394,358.4415382,nan,nan,nan,nan
1398488927,390.5192271,390.7304,376.3122835,372.2876921,nan,nan,nan,nan
1398488928,395.4097932,414.7304,376.3122835,372.2876921,nan,nan,nan,nan
1398488929,395.4097932,390.7304,379.4981241,372.2876921,nan,nan,nan,nan
1398488930,393.7796045,402.7304,360.3830801,361.9030767,nan,nan,nan,nan
1398488932,369.3267743,390.7304,357.1972394,353.2492305,nan,nan,nan,nan
1398488933,366.0663969,378.7304,357.1972394,354.9799998,nan,nan,nan,nan
1398488934,372.5871516,390.7304,357.1972394,351.5184613,nan,nan,nan,nan
1398488935,385.6286611,390.7304,363.5689207,356.710769,nan,nan,nan,nan
1398488936,388.8890385,390.7304,369.9406021,374.0184614,nan,nan,nan,nan
1398488939,383.9984724,390.7304,360.3830801,354.9799997,nan,nan,nan,nan
1398488940,372.5871516,402.7304,357.1972394,353.2492305,nan,nan,nan,nan
1398488941,370.956963,390.7304,360.3830801,354.9799997,nan,nan,nan,nan
1398488942,387.2588498,402.7304,366.7547614,363.6338459,nan,nan,nan,nan
1398488944,388.8890385,390.7304,360.3830801,363.6338459,nan,nan,nan,nan
1398488945,377.4777177,390.7304,360.3830801,358.4415382,nan,nan,nan,nan
1398488946,369.3267743,390.7304,363.5689207,356.710769,nan,nan,nan,nan
1398488948,379.1079064,390.7304,369.9406021,363.6338459,nan,nan,nan,nan
1398488949,400.3003592,402.7304,376.3122835,368.8261537,nan,nan,nan,nan
1398488950,405.1909253,402.7304,366.7547614,370.5569229,nan,nan,nan,nan
1398488952,366.0663969,378.7304,350.825558,354.9799998,nan,nan,nan,nan
1398488953,362.8060196,366.7304,357.1972394,348.0569228,nan,nan,nan,nan
1398488954,361.1758309,378.7304,354.0113987,346.3261536,nan,nan,nan,nan
1398488955,369.3267743,402.7304,366.7547614,354.9799997,nan,nan,nan,nan
1398488956,390.5192271,402.7304,366.7547614,368.8261537,nan,nan,nan,nan
1398488959,387.2588498,390.7304,363.5689207,361.9030767,nan,nan,nan,nan
1398488960,377.4777177,390.7304,360.3830801,354.9799998,nan,nan,nan,nan
1398488961,370.956963,378.7304,360.3830801,354.9799998,nan,nan,nan,nan
1398488962,370.956963,390.7304,363.5689207,356.710769,nan,nan,nan,nan
1398488964,397.0399819,402.7304,373.1264428,370.5569229,nan,nan,nan,nan
1398488966,406.821114,402.7304,373.1264428,377.4799999,nan,nan,nan,nan
1398488967,395.4097932,390.7304,369.9406021,367.0953844,nan,nan,nan,nan
